id,task_type,orig_num_cameras,temporal_level,question,options,answer
cvb-0,Cross-video Scene Recognition,2,2,Did both videos feature a team successfully scoring a decisive goal or point during the match's closing moments?,Yes. | No.,No
cvb-2,Cross-video Event Retrieval,2,1,Which video shows the celebration of a team after successfully leading or winning in the match?,A. Video 1. | B. Video 2. | C. Both of them. | D. None of them.,B
cvb-15,Multi-video Temporal Reasoning,4,2,"Based on the interconnections, what is the correct chronological order of the aviation process depicted across the videos?",A. 2-3-4-1. | B. 4-1-2-3. | C. 2-3-1-4. | D. 3-1-4-2.,C
cvb-16,Cross-video Event Retrieval,4,1,Which video segment reveals the moment the shuttle lifts off from the launch pad?,A. Video 1. | B. Video 2. | C. Video 3. | D. Video 4.,D
cvb-18,Multi-video Temporal Reasoning,3,2,What is the correct video sequence for processing artifacts?,A. 3-1-2. | B. 2-3-1. | C. 2-1-3. | D. 1-2-3.,C
cvb-27,Multi-video Temporal Reasoning,2,2,"Following the flow of the trial, did video 1 happen before video 2?",Yes.  | No. ,No
cvb-28,Multi-video Temporal Reasoning,3,2,What is most likely the chronological order of meal presentation in the videos?,A. 1 - 2 - 3. | B. 2 - 3 - 1. | C. 1 - 3 - 2. | D. 3 - 2 - 1.,C
cvb-37,Multi-video Temporal Reasoning,4,2,"Considering the entire process of tea production, what is the correct sequence of videos?",A. 2-3-1-4. | B. 4-1-2-3. | C. 1-2-3-4. | D. 2-1-3-4.,A
cvb-41,Multi-view Scene Understanding,4,2,"Combining all videos, what is the most likely sequence of urban transformation depicted?",A. Construction site emerges - City develops - Nighttime cityscape. | B. Nighttime cityscape - Construction progresses - Completed city buildings. | C. Streets full of vehicles - Aerial view of construction - Completed city buildings. | D. Construction site - Construction intensifies - Completed city buildings.,D
cvb-42,Multi-video Temporal Reasoning,4,2,Which order of videos most accurately represents the urban development timeline beginning from initial construction?,A. Video 2 - Video 1 - Video 4 - Video 3. | B. Video 1 - Video 3 - Video 4 - Video 2. | C. Video 4 - Video 2 - Video 1 - Video 3. | D. Video 3 - Video 1 - Video 4 - Video 2.,A
cvb-43,Multi-video Temporal Reasoning,4,2,"Based on the interconnections, what is the correct chronological order of the cell division depicted across the videos?",A. 3-2-4-1. | B. 4-1-2-3. | C. 1-2-3-4. | D. 3-2-1-4.,D
cvb-48,Multi-video Temporal Reasoning,3,2,What is the correct chronological order of the events portrayed in the three videos?,A. 3-1-2. | B. 1-2-3. | C. 2-1-3. | D. 3-2-1.,D
cvb-61,Multi-video Temporal Reasoning,4,2,What is the correct video order linking the processes in the listed videos?,A. 2-3-1-4. | B. 4-1-2-3. | C. 2-3-4-1. | D. 3-1-4-2.,A
cvb-64,Multi-video Temporal Reasoning,4,2,What is the correct chronological order of these social moments based on their emotional journey?,A. Video 1 - Video 2 - Video 3 - Video 4. | B. Video 2 - Video 1 - Video 4 - Video 3. | C. Video 4 - Video 3 - Video 1 - Video 2. | D. Video 4 - Video 2 - Video 3 - Video 1.,C
cvb-66,Cross-video Counterfactual Reasoning,4,1,What wouldn't have happened if the two hadn't had a crush on each other in the first place in Video 4?,A. Bar staff preparing drinks. | B. Romantic restaurant conversation. | C. Wedding banquet. | D. All of the above.,D
cvb-68,Multi-video Temporal Reasoning,2,1,Which character from Video 2 would most likely visit the pharmacy seen in Video 1?,A. Woman in gray jacket. | B. Man in checkered shirt. | C. Woman using tissues. | D. All of them.,D
cvb-69,Multi-video Temporal Reasoning,2,1,Does Video 1 happen first in real situations?,Yes. | No.,No
cvb-76,Multi-video Temporal Reasoning,3,2,"From the perspective of survival in the wild, which one is the correct video sequence?",A. 3-1-2. | B. 2-1-3. | C. 1-2-3. | D. 3-2-1.,A
cvb-85,Multi-video Temporal Reasoning,3,2,"Considering the entire course of events, what is most likely the correct video order?",A. 3-2-1. | B. 1-2-3. | C. 2-1-3. | D. 3-1-2.,D
cvb-86,Multi-video Temporal Reasoning,4,2,"Based on the content of all the videos, what is the following sequence of videos that follow the correct steps for surgery?",A. 3-2-4-1. | B. 4-1-2-3. | C. 1-2-3-4. | D. 3-1-4-2.,A
cvb-103,Multi-video Temporal Reasoning,3,2,"If purchasing a batch of fresh ingredients like in video 3 is first, what follows logically in terms of spatial management?",A. Organizing locker in Video 2. | B. Organizing fridge in Video 1. | C. Sorting fridge condiments in Video 1. | D. Labeling boxed foods in Video 3.,B
cvb-107,Multi-video Temporal Reasoning,3,1,"From Video 1 to Video 3, what is the most likely sequential progression?",A. Laundry care -> Formal seminar -> Home decluttering. | B. Home decluttering -> Formal seminar -> Laundry care. | C. Formal seminar -> Home decluttering -> Laundry care. | D. Laundry care -> Home decluttering -> Formal seminar.,D
cvb-110,Multi-video Temporal Reasoning,4,2,"Given the videos, what logical sequence best represents the house buying timeline?",A. Video 2 -> Video 3 -> Video 1 -> Video 4. | B. Video 3 -> Video 2 -> Video 1 -> Video 4. | C. Video 1 -> Video 2 -> Video 3 -> Video 4. | D. Video 4 -> Video 1 -> Video 3 -> Video 2.,B
cvb-117,Multi-video Temporal Reasoning,2,2,"Considering the order of operations demonstrated in both videos, what task should logically follow the completion of precise cutting or suturing?",A. Relaxing after task completion. | B. Reflection or review of the completed work. | C. Double-check whether the suturing is complete. | D. Immediate clean-up of workspace.,C
cvb-129,Cross-video Object Recognition,2,1,What item is commonly used in both videos to ensure the phone screen is clean before protector application?,A. Transparent screen protector. | B. Yellow cleaning cloth. | C. Small circular yellow pad. | D. Adhesive dust stickers.,D
cvb-148,Multi-video Temporal Reasoning,2,2,"Based on the videos, what is likely the sequence from food preparation to pet feeding?","A. Starting with dog food preparation to mixing it well and feeding the dog. | B. Stirring the batter, feeding pets, and preparing structured pet meals. | C. Preparing structured pet meals to communal meal preparation. | D. Mixing batter to milk pouring into kibble and feeding the dog.",A
cvb-195,Multi-video Temporal Reasoning,4,2,What sequence of activities across these videos underlines the progression in automotive tasks?,A. Engine handling - Component preparation - Inspection | B. Component preparation - Engine handling - Installation | C. Inspection - Installation - Component preparation | D. Installation - Component preparation - Engine handling,B
cvb-203,Cross-video Event Retrieval,4,1,Which video includes an engagement with promotional content encouraging viewers to follow or subscribe?,A. Video 1. | B. Video 2. | C. Video 3. | D. Video 4.,B
cvb-204,Joint-video Spatial Navigating,4,1,"After ordering a cola at the cashier, where should you go to get your drink?",A. Turn right to the drink machine and get your cola | B. Walk forward to the seating area and wait there | C. Turn left to the drink machine and get your cola | D. Stay at the counter and wait for your drink,C
cvb-208,Cross-video Event Retrieval,4,1,Which of the videos captures a moment of a culinary achievement announcement?,A. Video 1. | B. Video 2. | C. Video 3. | D. Video 4.,D
cvb-225,Multi-video Temporal Reasoning,4,2,Which sequence correctly represents the chronological order of seasonal transitions as depicted from spring onwards?,A. 2-3-4-1. | B. 1-2-3-4. | C. 4-1-2-3. | D. 3-2-1-4.,A
cvb-242,Cross-video Procedural Transfer,2,1,"Based on the hair growth process in Video 2, what can be inferred about the hair at the end of Video 1?","A. Hair turns into a big, fluffy afro. | B. Hair in strands and ten feet long. | C. Hair cascaded down like flowing water. | D. Hair stops growing and falls out.",A
cvb-245,Multi-video Temporal Reasoning,4,2,"If the events of Videos 1, 2, 3 and 4 were arranged chronologically, what sequence would they follow?","A. Video 4, Video 1, Video 3, Video 2. | B. Video 3, Video 2, Video 1, Video 4. | C. Video 2, Video 4, Video 1, Video 3. | D. Video 4, Video 2, Video 3, Video 1.",C
cvb-246,Joint-video Counting,4,1,How many prominent white flowers are depicted across all the videos before 140 days?,A. 3. | B. 4. | C. 5. | D. 6.,B
cvb-248,Multi-video Temporal Reasoning,4,2,"Based on the interconnections, what is the correct chronological order of the rescue process depicted across the videos?",A. 3-4-1-2. | B. 4-1-2-3. | C. 1-2-3-4. | D. 2-4-3-1.,D
cvb-255,Multi-video Temporal Reasoning,4,2,"Based on the interconnections, what is the correct chronological order of the criminal case depicted across the videos?",A. 1-2-3-4. | B. 4-1-2-3. | C. 1-2-4-3. | D. 3-1-4-2.,C
cvb-256,Multi-video Temporal Reasoning,4,2,"Based on the interconnections, what is the correct chronological order of the girl's upbringing as depicted across the videos?",A. 3-4-1-2. | B. 2-1-3-4. | C. 1-2-3-4. | D. 2-1-4-3.,D
cvb-260,Multi-video Temporal Reasoning,4,2,What should be the next step after the final product is completed?,A. Recheck | B. Sell | C. Store | D. Display,B
cvb-261,Multi-video Temporal Reasoning,4,2,"Based on logical production flow, what order should the videos be in to narrate the process from raw materials to finished product?",A. 2-1-3-4 | B. 4-3-2-1 | C. 4-1-3-2 | D. 3-4-2-1,B
cvb-264,Multi-view Scene Understanding,4,2,"According to the events listed from the videos, what is the sequence of the major events in the Men’s swimming competition?",A. Swimmers introduction -> Start race -> Popovici leads -> Pan Zhanle wins. | B. Start race -> Popovici wins -> Medal ceremony -> Pan Zhanle celebrates. | C. Swimmers introduction -> Pan Zhanle leads -> Finish race -> Medal ceremony. | D. Swimmers introduction -> Pan Zhanle wins -> Medal ceremony -> Popovici celebrates.,C
